matlab date,lat,lon,sst,sal
736450.3295,34.18314715,-158.0110746,15.39570833,34.39436567
736450.3333,34.17007657,-158.0106332,15.40986856,34.39083838
736450.3372,34.15707087,-158.0101953,15.385807,34.38351667
736450.341,34.14391933,-158.0095458,15.33631617,34.37547458
736450.3448,34.13077872,-158.0087671,15.30634248,34.36860443
736450.3483,34.11886362,-158.0079814,15.28719205,34.36266796
736450.3521,34.10580383,-158.0070145,15.26179783,34.35584756
736450.3559,34.09256207,-158.0062058,15.21864314,34.34821629
736450.3597,34.08012673,-158.0054751,15.21536544,34.34635683
736450.3771,34.02010054,-158.0025132,15.00748121,34.33456217
736450.3941,33.96043927,-158.0010902,15.08088205,34.34316538
736450.3979,33.94725898,-158.0008114,15.10334639,34.33849611
736450.4017,33.93408703,-158.0004254,15.10692013,34.32851073
736450.4056,33.92086399,-157.9998916,15.06261541,34.3215748
736450.4094,33.90758758,-157.9993098,15.05346567,34.32247333
736450.4128,33.8955784,-157.9988079,15.10898267,34.32434333
736450.4167,33.88225,-157.9983873,15.14207417,34.32641528
736450.4205,33.86886465,-157.9979511,15.17982833,34.330455
736450.4243,33.85553887,-157.9974428,15.19491639,34.3348125
736450.4281,33.84199237,-157.997269,15.17966233,34.33519467
736450.4316,33.8295572,-157.9971558,15.1235706,34.330919
736450.4354,33.81561691,-157.9969712,15.11591484,34.35286956
736450.4392,33.80146404,-157.9966045,15.26544933,34.391077
736450.4431,33.78722727,-157.996453,15.43725472,34.42446444
736450.4698,33.6844297,-157.9990256,16.35473749,34.58406692
736450.4965,33.58055423,-158.0025947,16.77941472,34.65433861
736450.5003,33.56550301,-158.0028805,16.80716167,34.65735733
736450.5042,33.55038667,-158.003284,16.8348725,34.66009056
736450.508,33.53530249,-158.0037476,16.83639967,34.65840433
736450.5115,33.52158628,-158.0042658,16.82728967,34.66234067
736450.5153,33.50656649,-158.0049251,16.83317528,34.66214556
736450.5191,33.49159279,-158.0056115,16.913111,34.67333133
736450.5229,33.47667191,-158.0063201,16.94121611,34.67845333
736450.5267,33.46180435,-158.0071838,16.89547967,34.674981
736450.5438,33.39663092,-158.0093914,16.62926962,34.62359701
736450.5608,33.33252841,-158.0076855,16.50126067,34.62178067
736450.5646,33.31819562,-158.0060302,16.58736167,34.63454528
736450.5684,33.30388624,-158.0043017,16.66264567,34.64215367
736450.5722,33.28946526,-158.0024376,16.65985417,34.64032
736450.576,33.27492306,-158.0006588,16.689385,34.64254267
736450.5795,33.26167887,-157.9996251,16.68223633,34.64343433
736450.5833,33.24712734,-157.9995327,16.66100528,34.63843667
736450.5872,33.23255046,-157.9997549,16.678132,34.63479167
736450.591,33.21800582,-157.9999873,16.64818306,34.62754694
736450.5948,33.20347282,-158.0000572,16.58219267,34.614715
736450.5986,33.18897765,-158.0005021,16.60375389,34.60935028
736450.6024,33.1745257,-158.0005379,16.590989,34.60643167
736450.6059,33.16145114,-158.0005121,16.55006833,34.592892
736450.6097,33.1471943,-158.0004599,16.35047444,34.54858889
736450.6271,33.10100258,-158.0023266,16.02949227,34.50346481
736450.6441,33.08977525,-158.0081748,16.06915833,34.503634
736450.6479,33.09044152,-158.0097989,16.05138139,34.50256056
736450.6517,33.09190311,-158.010841,16.03842167,34.500038
736450.6556,33.09341877,-158.0119734,16.01436833,34.49696389
736450.6594,33.09493464,-158.0129446,15.98536767,34.49417267
736450.6628,33.09627303,-158.014054,15.95450367,34.49314967
736450.6705,33.09848672,-158.0165316,15.8878748,34.49280843
736450.6781,33.09371823,-158.0196374,15.90523033,34.49388267
736450.6816,33.08215228,-158.0195481,16.03577233,34.50155333
736450.6854,33.06814184,-158.0191098,16.07731889,34.52138806
736450.6892,33.05400745,-158.0185706,16.127895,34.53959467
736450.6931,33.04002559,-158.0182634,16.24987278,34.55505556
736450.7104,32.97541687,-158.0167832,16.25819242,34.53387519
736450.7274,32.91038629,-158.0145532,16.23145867,34.497873
736450.7313,32.89714205,-158.0137204,16.29925361,34.535115
736450.7351,32.88926995,-158.0127766,16.49367167,34.57214033
736450.7389,32.8818308,-158.0115331,16.68331333,34.60685528
736450.7427,32.87351111,-158.0100371,16.87582967,34.641488
736450.7462,32.86593154,-158.0086465,16.97583033,34.65870467
736450.75,32.85767191,-158.0072621,17.06662444,34.67794528
736450.7538,32.84927033,-158.0058222,17.10180433,34.68322533
736450.7576,32.83825731,-158.0040887,17.08385972,34.67728083
736450.7615,32.8238186,-158.0022542,16.898856,34.64532033
736450.7653,32.80919985,-158.0003366,16.70636694,34.6238425
736450.7691,32.79462926,-157.9983471,16.502466,34.61871367
736450.7726,32.7812743,-157.9965381,16.51285367,34.61978567
736450.7764,32.76658081,-157.9946109,16.60434389,34.62490278
736450.7938,32.70113618,-157.9879989,16.91902307,34.63843784
736450.8108,32.63828775,-157.9836977,17.24807633,34.653067
736450.8146,32.62423525,-157.98342,17.19323222,34.66004
736450.8184,32.61018673,-157.9832898,17.06518533,34.667699
736450.8222,32.59619106,-157.9831483,17.03852972,34.67523583
736450.826,32.58225796,-157.9830105,17.10889733,34.68398233
736450.8295,32.56961163,-157.9828698,17.23189733,34.706964
736450.8333,32.5557365,-157.9826266,17.37292639,34.72843167
736450.8372,32.54204329,-157.982382,17.55852233,34.750983
736450.841,32.5284232,-157.9822417,17.71874778,34.76923806
736450.8448,32.51471927,-157.9821163,17.853123,34.78945767
736450.8486,32.50096011,-157.9820886,17.96018917,34.80652528
736450.8524,32.48722959,-157.9821128,18.062191,34.81743367
736450.8559,32.47477149,-157.9822051,18.15199533,34.82234967
736450.8597,32.46085954,-157.9823486,18.16138028,34.8209225
736450.8771,32.39689924,-157.9830593,17.6336203,34.71376186
736450.8941,32.33466862,-157.9851045,17.74812167,34.67169967
