MassFeature_Column,SampID,std_area,cluster,cluster_letters
I160.037R5.34_HILICPos_X_HILICPos,1314_B,0.618185337411608,3,b
I160.0969R6.82_HILICPos_X_HILICPos,1314_B,0,4,g
I160.0969R7.56_HILICPos_X_HILICPos,1314_B,0,4,g
I160.0969R8.37_HILICPos_X_HILICPos,1314_B,0,4,g
I161.0631R9.25_HILICPos_X_HILICPos,1314_B,0.6189097815465379,6,e
I162.0776R1.13_CyanoAq_X_RP,1314_B,0.550431459345746,4,g
I162.1125R8.11_HILICPos_X_HILICPos,1314_B,0,4,g
I165.0581R8.33_HILICPos_X_HILICPos,1314_B,0,5,d
I166.0864R1.12_CyanoAq_X_RP,1314_B,0.6690127412531026,1,a
I167.0204R10.56_HILICNeg_X_HILICNeg,1314_B,1,6,e
I168.0517R1.05_CyanoAq_X_RP,1314_B,0.9183608158318721,4,g
I170.0684R16.91_HILICPos_X_HILICPos,1314_B,0.8209191276006957,7,f
I170.1176R8.07_HILICPos_X_HILICPos,1314_B,0,4,g
I172.0067R5.44_HILICNeg_X_HILICNeg,1314_B,0,6,e
I173.0921R8.33_HILICPos_X_HILICPos,1314_B,0,5,d
I174.022R5.45_HILICPos_X_HILICPos,1314_B,0,6,e
I174.1126R6.89_HILICPos_X_HILICPos,1314_B,0,4,g
I174.1126R8.06_HILICPos_X_HILICPos,1314_B,0,4,g
I175.0789R1_CyanoAq_X_RP,1314_B,0,6,e
I175.119R17.83_HILICPos_X_HILICPos,1314_B,0.8547636419486723,1,a
I176.0918R10.77_HILICPos_X_HILICPos,1314_B,0,4,g
I176.1281R10.33_HILICPos_X_HILICPos,1314_B,1,6,e
I176.1282R7.85_HILICPos_X_HILICPos,1314_B,0.7168226671709262,4,g
I177.0581R9.17_HILICPos_X_HILICPos,1314_B,0,4,g
I177.0582R7.98_HILICPos_X_HILICPos,1314_B,0,4,g
I180.1019R8.38_HILICPos_X_HILICPos,1314_B,0.9539588157500793,7,f
I182.0674R1.17_CyanoAq_X_RP,1314_B,0,2,c
I185.0922R8.02_HILICPos_X_HILICPos,1314_B,0,4,g
I186.0253R12.12_HILICNeg_X_HILICNeg,1314_B,0.6263897711339008,1,a
I188.0707R7.54_HILICPos_X_HILICPos,1314_B,0.7250375336562399,1,a
I189.1235R6.93_HILICPos_X_HILICPos,1314_B,0,4,g
I190.1439R0.83_CyanoAq_X_RP,1314_B,0.8340179342290986,4,g
I192.9808R2.93_HILICNeg_X_HILICNeg,1314_B,0,4,g
I193.0531R10.87_HILICPos_X_HILICPos,1314_B,0.9743728571210729,7,f
I193.0894R10.12_HILICPos_X_HILICPos,1314_B,0.8786725536383508,7,f
I194.9965R12.04_HILICNeg_X_HILICNeg,1314_B,0,3,b
I195.0765R10.08_HILICPos_X_HILICPos,1314_B,0,4,g
I196.0831R1.52_CyanoAq_X_RP,1314_B,0,2,c
I196.083R5.03_HILICPos_X_HILICPos,1314_B,0,2,c
I203.1392R1.16_CyanoAq_X_RP,1314_B,0.811296004928659,1,a
