MassFeature_Column,SampID,std_area,cluster,latitude,cluster_letters
I252.1441R10.53_HILICPos_X_HILICPos,S2C3_A,0.012352688895218046,2,23.596524,b
I253.9168R1.77_HILICNeg_X_HILICNeg,S2C3_A,0.027812698892433027,7,23.596524,g
I260.1131R1.01_CyanoAq_X_RP,S2C3_A,0.13645470675330534,2,23.596524,b
I261.1311R1.29_CyanoAq_X_RP,S2C3_A,0.01947746758903302,1,23.596524,a
I261.9827R12.12_HILICNeg_X_HILICNeg,S2C3_A,0.01359611868370632,1,23.596524,a
I263.1426R2.13_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I267.0726R11.17_HILICNeg_X_HILICNeg,S2C3_A,0.09795781264722123,7,23.596524,g
I268.1042R1.29_CyanoAq_X_RP,S2C3_A,0.0030441542928910967,5,23.596524,e
I269.0882R1.02_CyanoAq_X_RP,S2C3_A,0.003987645739348963,3,23.596524,d
I271.1288R9.7_HILICPos_X_HILICPos,S2C3_A,0.012632919664055447,4,23.596524,c
I271.1291R0.87_CyanoAq_X_RP,S2C3_A,0.011644263088061697,4,23.596524,c
I275.9414R1.7_HILICNeg_X_HILICNeg,S2C3_A,0.002271575900215948,7,23.596524,g
I276.9109R1.79_HILICNeg_X_HILICNeg,S2C3_A,0.07405019363908483,7,23.596524,g
I277.9097R1.79_HILICNeg_X_HILICNeg,S2C3_A,0.07782024840056483,7,23.596524,g
I279.1706R4.12_CyanoAq_X_RP,S2C3_A,0.0027477385078565953,3,23.596524,d
I283.0872R1.5_CyanoAq_X_RP,S2C3_A,8.850143257067055e-4,5,23.596524,e
I284.0991R8.89_HILICPos_X_HILICPos,S2C3_A,0.002526366550463331,3,23.596524,d
I285.1445R6.57_HILICPos_X_HILICPos,S2C3_A,0.0011578924571536942,6,23.596524,f
I285.1445R8.18_HILICPos_X_HILICPos,S2C3_A,0.02424003503395564,2,23.596524,b
I285.1447R0.91_CyanoAq_X_RP,S2C3_A,0.017236793789232988,1,23.596524,a
I285.1447R1.14_CyanoAq_X_RP,S2C3_A,0.0011457625433725742,6,23.596524,f
I285.6464R1_CyanoAq_X_RP,S2C3_A,0.017449614536726034,2,23.596524,b
I288.1918R7.18_HILICPos_X_HILICPos,S2C3_A,0.01078602149980093,1,23.596524,a
I288.2032R0.91_CyanoAq_X_RP,S2C3_A,0.00999605919784222,3,23.596524,d
I289.1393R10.28_HILICPos_X_HILICPos,S2C3_A,0.012350284034800853,2,23.596524,b
I291.0698R7.5_HILICPos_X_HILICPos,S2C3_A,0.01256191909101309,3,23.596524,d
I292.0629R12.12_HILICPos_X_HILICPos,S2C3_A,0.01881783530964333,1,23.596524,a
I292.0727R10.9_HILICNeg_X_HILICNeg,S2C3_A,0.0038877439193428644,1,23.596524,a
I293.2112R9.77_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I293.2113R9.66_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I294.1814R1.08_CyanoAq_X_RP,S2C3_A,0.009354372524658058,1,23.596524,a
I295.1291R1.78_CyanoAq_X_RP,S2C3_A,0.018682028769744695,3,23.596524,d
I295.1654R2.4_CyanoAq_X_RP,S2C3_A,0.0045189320890338305,3,23.596524,d
I295.1655R2.58_CyanoAq_X_RP,S2C3_A,0.0051678236834413705,3,23.596524,d
I295.1655R2.81_CyanoAq_X_RP,S2C3_A,0.001335788520563421,3,23.596524,d
I296.6058R1.22_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I297.0846R5.35_HILICPos_X_HILICPos,S2C3_A,3.460300220998984e-5,1,23.596524,a
I297.1885R5.9_CyanoAq_X_RP,S2C3_A,0.01107972575861459,7,23.596524,g
I298.0971R2.1_CyanoAq_X_RP,S2C3_A,0.003629533984193227,2,23.596524,b
I298.957R7.41_HILICNeg_X_HILICNeg,S2C3_A,0.014276614577468217,1,23.596524,a
I299.1967R2.47_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I300.8705R4.81_HILICNeg_X_HILICNeg,S2C3_A,0.007754177014900614,2,23.596524,b
I302.0009R7.07_HILICNeg_X_HILICNeg,S2C3_A,0.022153856115522435,1,23.596524,a
I303.1551R9.17_HILICPos_X_HILICPos,S2C3_A,0.02782902585932953,2,23.596524,b
I303.1553R0.89_CyanoAq_X_RP,S2C3_A,0.25125696956865623,2,23.596524,b
I304.079R2.8_HILICNeg_X_HILICNeg,S2C3_A,0,5,23.596524,e
I305.1573R1.6_CyanoAq_X_RP,S2C3_A,0.019520125767828703,1,23.596524,a
I306.4913R3.77_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I308.1605R5.35_HILICPos_X_HILICPos,S2C3_A,0.002296651603435879,1,23.596524,a
I310.14R1.31_CyanoAq_X_RP,S2C3_A,0.012692180623993809,1,23.596524,a
I311.1239R1.4_CyanoAq_X_RP,S2C3_A,0.015555335745317934,3,23.596524,d
I313.1548R4.98_CyanoAq_X_RP,S2C3_A,0.0010549678864786663,3,23.596524,d
I316.0457R12.61_HILICNeg_X_HILICNeg,S2C3_A,0,1,23.596524,a
I317.0553R12.1_HILICNeg_X_HILICNeg,S2C3_A,0.0024624613441908173,4,23.596524,c
I321.2427R9.33_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I322.1877R1.19_CyanoAq_X_RP,S2C3_A,0.013386982633216268,1,23.596524,a
I325.0188R11.15_HILICNeg_X_HILICNeg,S2C3_A,0.11137385525376858,7,23.596524,g
I325.1761R2.97_CyanoAq_X_RP,S2C3_A,0.0029679656810346552,2,23.596524,b
