MassFeature_Column,KOK_clusters,MGL_clusters,KM_clusters,Org_clusters,MetaClusterAssignment
I345.6642R3.9_CyanoAq_X_RP,d,f,d,NA,Rare
I346.0564R12.06_HILICNeg_X_HILICNeg,a,b,a,a,Core
I346.1457R4.95_CyanoAq_X_RP,f,c,d,NA,Rare
I347.1452R0.87_CyanoAq_X_RP,b,f,c,e,Dino
I370.6952R2.68_CyanoAq_X_RP,f,f,d,NA,Rare
I375.2136R4.1_CyanoAq_X_RP,f,f,d,NA,Rare
I376.9346R7.43_HILICNeg_X_HILICNeg,a,NA,NA,g,NA
I377.1459R4.24_CyanoAq_X_RP,a,b,a,b,NA
I379.083R11.37_HILICNeg_X_HILICNeg,a,g,a,a,Core
I381.1828R4.47_CyanoAq_X_RP,f,c,d,NA,Rare
I386.0341R16.12_HILICNeg_X_HILICNeg,a,c,a,a,Core
I387.2256R2.2_HILICNeg_X_HILICNeg,d,c,b,g,NA
I401.241R2.14_HILICNeg_X_HILICNeg,a,d,b,g,NA
I404.7398R5.8_CyanoAq_X_RP,f,f,d,NA,Rare
I414.1624R0.94_CyanoAq_X_RP,b,NA,a,c,NA
I414.1638R9.08_HILICNeg_X_HILICNeg,c,NA,a,c,NA
I416.1778R9.11_HILICPos_X_HILICPos,b,d,a,c,NA
I416.178R0.93_CyanoAq_X_RP,c,NA,a,c,NA
I419.6799R6.47_CyanoAq_X_RP,e,c,d,NA,NA
I424.2081R2.64_CyanoAq_X_RP,d,c,a,NA,NA
I429.1257R12.32_HILICNeg_X_HILICNeg,g,NA,b,c,NA
I455.1888R6.34_HILICPos_X_HILICPos,e,b,b,g,NA
I459.2336R3.77_CyanoAq_X_RP,f,f,d,NA,Rare
I470.2256R5.55_CyanoAq_X_RP,d,f,d,NA,Rare
I479.1923R4.35_HILICPos_X_HILICPos,a,b,a,f,NA
I479.7914R1.79_HILICNeg_X_HILICNeg,g,f,c,g,NA
I495.0783R2.22_HILICNeg_X_HILICNeg,g,NA,c,NA,Rare
I511.2407R3.6_CyanoAq_X_RP,f,c,a,g,NA
I533.0521R2.2_HILICNeg_X_HILICNeg,g,NA,c,NA,Rare
I548.2723R4.91_CyanoAq_X_RP,a,a,a,g,NA
I575.1679R5.3_CyanoAq_X_RP,a,NA,c,NA,NA
I577.1657R5.3_CyanoAq_X_RP,a,NA,c,NA,NA
I589.2805R5.44_CyanoAq_X_RP,d,f,d,NA,Rare
I605.3175R6.37_CyanoAq_X_RP,f,f,d,NA,Rare
I606.0756R12.98_HILICNeg_X_HILICNeg,a,d,a,a,Core
I620.9939R2.17_HILICNeg_X_HILICNeg,g,f,b,NA,Rare
I622.9911R2.17_HILICNeg_X_HILICNeg,g,NA,b,NA,Rare
I801.3309R6.22_CyanoAq_X_RP,f,f,d,g,NA
I802.3342R6.22_CyanoAq_X_RP,f,f,d,g,NA
I84.045R12.12_HILICPos_X_HILICPos,a,a,a,a,Core
I87.0446R10.14_HILICPos_X_HILICPos,c,c,b,e,Dino
I93.0578R5.36_HILICPos_X_HILICPos,a,b,a,d,NA
I96.0449R5.35_HILICPos_X_HILICPos,a,b,a,g,NA
Inosine_X_HILICNeg,d,c,a,f,NA
Isethionic Acid_X_HILICNeg,a,b,a,d,NA
Kynurenine_X_RP,d,a,a,d,NA
L-Pyroglutamic acid_X_HILICNeg,a,a,a,b,NA
Lysine_X_HILICPos,a,b,a,a,Core
Malic Acid_X_HILICNeg,a,a,a,d,NA
Methionine Sulfoxide_X_HILICPos,a,a,a,b,NA
Methionine_X_HILICPos,d,d,a,a,NA
N-acetyltaurine_X_HILICNeg,a,d,b,g,NA
N(e)-Acetyl-Lysine_X_HILICPos,a,g,c,d,NA
NAD_X_HILICNeg,a,NA,a,a,NA
Ornithine_X_HILICPos,b,b,a,b,NA
Propionyl-L-carnitine_X_HILICPos,a,b,a,d,NA
Sarcosine_X_HILICPos,a,b,a,d,NA
Serine_X_HILICPos,a,b,a,a,Core
Sucrose_X_HILICNeg,a,g,a,c,NA
Sulfolactic Acid_X_HILICNeg,a,b,a,g,NA
Sulfurol_X_RP,d,NA,a,g,NA
Threonine_X_HILICPos,d,d,a,a,NA
Thymidine_X_HILICNeg,e,b,b,NA,NA
Trehalose_X_HILICNeg,b,f,b,g,NA
Tryptophan_X_RP,a,a,a,a,Core
Tyrosine_X_HILICPos,a,a,a,a,Core
Uracil_X_HILICNeg,d,a,NA,NA,NA
Uridine_X_HILICNeg,d,b,b,a,NA
Vitamin B3_X_HILICPos,d,d,b,e,NA
Vitamin B5_X_RP,a,a,NA,a,NA
